month,country,vibe_category,avg_popularity
2020-10-01,KZ,Emo / Sad Chill,53.378787878787875
2020-10-01,KZ,Rap / Trap Vibes,54.85266457680251
2020-10-01,NG,High-Energy Pop,71.0
2020-10-01,RO,Dance / EDM,51.0
2020-10-01,SE,Mellow Acoustic,66.88155061019383
2020-10-01,SG,Mellow Acoustic,66.53846153846153
2020-11-01,AE,Emo / Sad Chill,1.0
2020-11-01,AT,Dance / EDM,69.0
2020-11-01,BY,Alternative / Experimental,69.48235294117647
2020-11-01,BY,High-Energy Pop,79.0
2020-11-01,CO,High-Energy Pop,78.0
2020-11-01,DE,Dance / EDM,72.33333333333333
2020-11-01,DK,Emo / Sad Chill,37.808510638297875
2020-11-01,DO,High-Energy Pop,78.0
2020-11-01,EE,Alternative / Experimental,70.21951219512195
2020-11-01,EE,High-Energy Pop,46.0
2020-11-01,EE,Rap / Trap Vibes,13.0
2020-11-01,HN,High-Energy Pop,78.2
2020-11-01,ID,Alternative / Experimental,87.79545454545455
2020-11-01,ID,Mellow Acoustic,78.34959349593495
2020-11-01,IS,Emo / Sad Chill,40.10769230769231
2020-11-01,IS,Rap / Trap Vibes,16.5
2020-11-01,KZ,Alternative / Experimental,69.33333333333333
2020-11-01,KZ,Emo / Sad Chill,79.33333333333333
2020-11-01,LV,Alternative / Experimental,70.84482758620689
2020-11-01,LV,Emo / Sad Chill,34.5
2020-11-01,LV,High-Energy Pop,85.36363636363636
2020-11-01,MY,Alternative / Experimental,87.84023668639053
2020-11-01,NL,Alternative / Experimental,50.0
2020-11-01,NO,Emo / Sad Chill,62.145833333333336
2020-11-01,NZ,Alternative / Experimental,83.07826086956521
2020-11-01,PA,High-Energy Pop,79.0
2020-11-01,PY,High-Energy Pop,78.375
2020-11-01,RO,High-Energy Pop,37.0
2020-11-01,SE,Emo / Sad Chill,62.76190476190476
2020-11-01,SE,Mellow Acoustic,62.979166666666664
2020-11-01,SV,Emo / Sad Chill,79.14285714285714
2020-11-01,TH,Mellow Acoustic,66.97986577181209
2020-11-01,UA,Alternative / Experimental,68.98181818181818
2020-11-01,US,Alternative / Experimental,86.0
2020-11-01,VE,Emo / Sad Chill,80.0
2020-11-01,VE,High-Energy Pop,78.33333333333333
2020-11-01,VN,High-Energy Pop,77.84615384615384
2020-11-01,ZA,Emo / Sad Chill,55.1125
2020-12-01,AE,Emo / Sad Chill,72.95652173913044
2020-12-01,AE,Mellow Acoustic,62.0
2020-12-01,AT,Mellow Acoustic,68.0
2020-12-01,AU,Alternative / Experimental,75.33333333333333
2020-12-01,BO,Mellow Acoustic,68.0
2020-12-01,CZ,High-Energy Pop,57.714285714285715
2020-12-01,DO,Mellow Acoustic,65.0
2020-12-01,EE,High-Energy Pop,39.46341463414634
2020-12-01,HN,Emo / Sad Chill,70.66666666666667
2020-12-01,HN,Mellow Acoustic,68.0
2020-12-01,LU,Emo / Sad Chill,8.5
2020-12-01,LU,Mellow Acoustic,65.0
