country,year_month,vibe,popularity,momentum
AE,2025-03,Dance / EDM,77.12,77.12
AR,2024-03,Alternative / Experimental,70.87878788,62.37878788
AT,2025-03,Dance / EDM,79.76530612,53.09863946
AU,2023-08,Emo / Sad Chill,85.53571429,66.53571429
BE,2025-03,Dance / EDM,76.5,76.5
BG,2023-09,Emo / Sad Chill,86.92,41.12238095
BO,2024-11,Emo / Sad Chill,86.22894168,39.35394168
BR,2024-08,Alternative / Experimental,91.1122449,34.1122449
BY,2025-02,High-Energy Pop,78.66666667,78.66666667
CA,2025-04,Rap / Trap Vibes,87.6,87.6
CH,2025-03,Dance / EDM,80.75280899,53.75280899
CL,2025-04,Mellow Acoustic,71.25,71.25
CO,2023-05,Mellow Acoustic,84,27
CR,2025-01,Mellow Acoustic,89.02448211,89.02448211
CZ,2025-03,Alternative / Experimental,84.11363636,64.11363636
DE,2025-04,Rap / Trap Vibes,73.94285714,47.44285714
DK,2024-05,Alternative / Experimental,97.51298701,42.26298701
DO,2025-05,Rap / Trap Vibes,82.36363636,70.81818182
EC,2023-11,Mellow Acoustic,88,59
EE,2023-11,Mellow Acoustic,85.71428571,62.71428571
EG,2024-08,Alternative / Experimental,99.15942029,39.54239901
ES,2025-05,Rap / Trap Vibes,81.26315789,28.26315789
FI,2024-07,Mellow Acoustic,92.67567568,40.34234234
FR,2023-11,Mellow Acoustic,87.5,48.5
GB,2025-03,Dance / EDM,75.9,75.9
GR,2024-08,Alternative / Experimental,98.54285714,39.43174603
GT,2023-08,High-Energy Pop,83,35
HK,2025-03,Alternative / Experimental,86.40909091,58.60909091
HN,2025-05,High-Energy Pop,76.6091954,47.6091954
HU,2024-05,Alternative / Experimental,97.24822695,47.64822695
ID,2024-12,High-Energy Pop,87.65306122,39.90306122
IE,2025-03,Dance / EDM,72.86956522,72.86956522
IL,2023-11,High-Energy Pop,85,47
IN,2025-01,Mellow Acoustic,78.44545455,73.11212121
IS,2025-03,Alternative / Experimental,79.53424658,79.53424658
IT,2023-05,Alternative / Experimental,67.9375,57.9375
JP,2025-03,High-Energy Pop,95.6,29.65323194
KR,2025-02,Alternative / Experimental,68.71428571,68.71428571
KZ,2024-08,Alternative / Experimental,98.90588235,47.84774282
LT,2024-01,Dance / EDM,53,53
LU,2023-11,Mellow Acoustic,85.58333333,83.58333333
LV,2024-08,Alternative / Experimental,98.9047619,74.9047619
MA,2025-03,Alternative / Experimental,74.01176471,48.01176471
MX,2025-01,Mellow Acoustic,89.64125561,89.64125561
MY,2023-05,Emo / Sad Chill,86.77358491,50.77358491
NG,2025-01,Mellow Acoustic,60.56896552,34.56896552
NI,2023-08,High-Energy Pop,80.25,39.75
NL,2024-11,Mellow Acoustic,79,71.33333333
NO,2025-02,Dance / EDM,68.12359551,68.12359551
NZ,2023-08,Emo / Sad Chill,85.21917808,29.51917808
PA,2022-07,Emo / Sad Chill,68,62
PE,2025-02,High-Energy Pop,84.82291667,46.82291667
PH,2025-03,High-Energy Pop,89.45744681,89.45744681
PK,2025-04,High-Energy Pop,77,77
PL,2024-05,Mellow Acoustic,92.5,51.5
PT,2025-04,Rap / Trap Vibes,80.40909091,59.40909091
PY,2023-07,Emo / Sad Chill,80.16666667,55.16666667
RO,2025-03,Dance / EDM,77.05172414,49.55172414
SA,2025-04,Mellow Acoustic,84.79545455,84.79545455
SE,2021-07,Mellow Acoustic,61,41.75
SG,2025-03,Dance / EDM,80.32258065,31.98924731
SK,2025-03,Rap / Trap Vibes,56.37692308,48.37692308
SV,2025-01,Mellow Acoustic,89.09960938,32.09960938
TH,2024-05,Alternative / Experimental,97.52023121,32.06925082
TR,2022-05,Emo / Sad Chill,71.39759036,44.39759036
TW,2024-08,Mellow Acoustic,90.575,27.06590909
UA,2024-05,Alternative / Experimental,94.7826087,38.16722408
US,2025-03,Dance / EDM,79.05405405,79.05405405
UY,2024-08,Alternative / Experimental,97.14285714,26.27576854
VE,2025-05,Rap / Trap Vibes,84.6,83.6
VN,2025-03,Alternative / Experimental,81.3,81.3
ZA,2024-05,Mellow Acoustic,93.36633663,42.36633663
