spotify_id,name,artists,snapshot_date,daily_rank,daily_movement,country,danceability,energy,acousticness,speechiness,instrumentalness,valence,tempo,vibe
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,2025-06-11,1,1,,0.368,0.694,0.704,0.06,6.59e-06,0.391,168.115,Other
42UBPzRMh5yyz0EDPr6fr1,Manchild,Sabrina Carpenter,2025-06-11,2,-1,,0.731,0.685,0.122,0.0572,0.0,0.811,123.01,High-Energy Pop
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,2025-06-11,3,0,,0.436,0.723,9.37e-05,0.0301,8.82e-05,0.235,92.855,Other
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",2025-06-11,4,0,,0.519,0.601,0.289,0.0317,0.0,0.498,157.964,Classic/Evergreen
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,2025-06-11,5,1,,0.747,0.507,0.2,0.0358,0.0608,0.438,104.978,Other
27xkOIER6uDLKALIelHylZ,Don’t Say You Love Me,Jin,2025-06-11,6,-1,,0.729,0.562,0.484,0.0304,0.0,0.757,111.976,Other
6iOndD4OFo7GkaDypWQIou,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",2025-06-11,7,0,,0.894,0.643,0.543,0.132,0.000984,0.659,99.039,High-Energy Pop
4AajxCEwGEsmHmT4H1TwjY,undressed,sombr,2025-06-11,8,0,,0.642,0.887,0.137,0.0406,0.0,0.888,115.999,Other
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2025-06-11,9,1,,0.777,0.783,0.0283,0.26,0.0,0.939,149.027,High-Energy Pop
4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Ravyn Lenae,2025-06-11,10,-1,,0.779,0.731,0.296,0.0306,0.0,0.814,114.001,High-Energy Pop
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,2025-06-11,11,1,,0.467,0.247,0.612,0.0431,0.000271,0.126,148.101,Mellow Acoustic
6eLQXa6uk2EW8drsiKbABZ,TU SANCHO,Fuerza Regida,2025-06-11,12,2,,0.689,0.84,0.576,0.0457,0.0,0.631,120.012,High-Energy Pop
2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",2025-06-11,13,0,,0.656,0.796,0.0767,0.113,0.0,0.425,129.956,Other
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,2025-06-11,14,3,,0.472,0.471,0.151,0.0603,0.0,0.219,105.029,Emo/Sad Chill
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,2025-06-11,15,1,,0.699,0.776,0.131,0.0293,5.36e-06,0.708,103.963,High-Energy Pop
21IYMdzTrzSe191Cy5eMap,Sailor Song,Gigi Perez,2025-06-11,16,-1,,0.499,0.392,0.627,0.0262,7.1e-05,0.272,95.076,Mellow Acoustic
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,2025-06-11,17,2,,0.625,0.131,0.177,0.0717,0.218,0.032,136.02,Emo/Sad Chill
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,2025-06-11,18,-7,,0.66,0.756,0.00289,0.032,0.0,0.838,116.034,High-Energy Pop
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,2025-06-11,19,2,,0.554,0.808,0.214,0.0368,0.0,0.372,108.548,Other
0QCIpQV3twfqo9kh0t8Zza,Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",2025-06-11,20,-2,,0.856,0.548,0.561,0.123,0.0,0.562,97.997,Other
1HEwEN64NjgTaHmo7LfkX8,no tiene sentido,Beéle,2025-06-11,21,-1,,0.671,0.596,0.0871,0.0556,1.97e-05,0.497,121.976,Other
4DPdJvSMB6hmrjgC5eC85d,Iris,The Goo Goo Dolls,2025-06-11,22,28,,0.315,0.715,0.00125,0.0362,7.97e-06,0.497,155.925,Other
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",2025-06-11,23,-1,,0.707,0.575,0.251,0.125,0.0,0.576,138.008,Other
4Q0qVhFQa7j6jRKzo3HDmP,Sapphire,Ed Sheeran,2025-06-11,24,5,,0.631,0.72,0.0163,0.0655,0.0,0.394,95.011,Other
5yJaXWIErrrsjQ3J0eR5aK,The Night We Met,Lord Huron,2025-06-11,25,0,,0.44,0.378,0.968,0.045,0.272,0.105,174.121,Mellow Acoustic
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,2025-06-11,26,0,,0.561,0.604,0.199,0.0337,1.9e-05,0.242,159.92,Classic/Evergreen
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),"Kendrick Lamar, SZA",2025-06-11,27,0,,0.695,0.633,0.0612,0.0599,0.000195,0.557,96.782,High-Energy Pop
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",2025-06-11,28,4,,0.264,0.64,0.0393,0.0442,2.31e-06,0.19,84.828,Other
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,2025-06-11,29,8,,0.464,0.417,0.136,0.0256,0.022,0.479,67.528,Classic/Evergreen
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,2025-06-11,30,9,,0.7,0.582,0.0502,0.0356,0.0,0.785,116.712,Other
4e6TmHCC4PRUj75knNplNP,Mangu,"Fourtwnty, Charita Utami",2025-06-11,31,-7,,0.534,0.295,0.647,0.0238,2.96e-06,0.197,94.048,Mellow Acoustic
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,2025-06-11,32,16,,0.429,0.661,0.00239,0.0281,0.000121,0.285,173.372,Other
3hpm0fTeSqlhJbnqAgaLZs,Marlboro Rojo,Fuerza Regida,2025-06-11,33,-5,,0.773,0.645,0.342,0.0349,3.38e-06,0.923,114.996,High-Energy Pop
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,2025-06-11,34,-3,,0.798,0.562,0.11,0.0375,0.00606,0.647,110.991,Other
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,2025-06-11,35,5,,0.612,0.807,0.0495,0.0336,0.0177,0.398,124.053,Other
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,2025-06-11,36,-2,,0.168,0.00332,0.192,0.0615,0.79,0.219,119.387,Emo/Sad Chill
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",2025-06-11,37,-1,,0.768,0.775,0.069,0.0466,2.96e-06,0.6,119.999,High-Energy Pop
0fK7ie6XwGxQTIkpFoWkd1,like JENNIE,JENNIE,2025-06-11,38,-5,,0.811,0.743,0.281,0.0611,0.00671,0.815,130.019,High-Energy Pop
2RdEC8Ff83WkX7kDVCHseE,party 4 u,Charli xcx,2025-06-11,39,-4,,0.579,0.522,0.761,0.0993,1.41e-05,0.245,79.453,Emo/Sad Chill
